,0
42e4837a-3202-030a-a7e4-11a7d4b8f6d2,0
1162cbfa-b8a3-c2e9-de60-94f9168192dc,0
4454fa50-9b0e-4346-f470-a75237fa7958,1
d7388168-2b48-0d5b-bec0-7d9401bc9623,0
5fdb60c7-7989-c57a-9381-d3a050b8e59c,1
fb3b1895-8407-d870-546a-58b5018c213c,0
c958c449-f96c-fb49-a804-f8d48fdb257f,1
322dfb1a-8dba-a42b-7369-2c78033ed5f0,0
adf78534-c65a-98cc-be48-4282acfb2674,1
78428b6c-0018-bcdf-f867-646d26c51a1b,0
1ecfb7c6-c5a9-f439-f506-36dfdf97f3c1,0
1e98de65-dd31-7aff-3e4b-4a55949e135d,1
e77c3f0d-8b5d-13fd-3500-fb61cad0de56,0
dab3d829-b090-e25d-9737-166d86d24003,1
6f22fc34-f496-5023-a918-00ad122d734a,0
03ec1018-f605-2b44-480a-a63f4a15287a,1
e879641f-a80e-0634-e9cf-10441f2b0148,0
6bfb27e9-5362-5964-3f2b-4bd31c75cafc,1
1cb5043b-7a20-022c-389c-b8fad58534f1,0
3901d7e0-576b-a587-8815-693deb731b32,0
45c4b5f7-ec11-8a4a-85ea-a34a125eabd2,1
4fabfbb2-f2c2-dea6-51e6-d2f3ad09806c,1
0f091d84-50aa-af97-499c-bd61f08e425a,0
db282947-eb43-d01c-f709-74557f69bfef,1
ba4e1645-0091-f90e-61f6-431884ecbfdb,0
49077b6f-908d-cf2f-20da-56d0ef85d956,0
08653511-7eb1-87f4-c418-8404b82f25cb,1
2bd1dacf-6529-cb04-0444-944323f56fdb,0
538e138d-7710-3c92-1fa1-ee56548e1c13,1
8fce805d-09e9-6298-2ac1-68272da36dde,0
992c8dbe-6e03-4542-7370-07b69dcf0331,1
f1652ccf-e045-bdbc-b7be-b20325afa6d2,0
206867b9-9ce3-9d7f-e73b-7b3daeb675c6,0
080869ee-9b18-ccaa-e2bc-e6b9caac92fa,1
5afd9c9a-4ad5-1eba-330c-c8e3879d08e2,0
db16d44f-8853-127c-07a4-b905f322c126,1
40c370d6-404f-e316-8bdc-685424165ec8,0
55df531e-7224-c605-a96c-a1754c02219c,1
41c49918-db17-d87a-f674-7250bcecc0d3,0
9b03f4ef-e8ab-dadc-b9a0-203dae1b7b02,0
d3bea435-ca05-70f2-d2ce-5f15ba84e5c8,1
3dda0984-481c-88c0-c8ff-71aef32e259e,1
4cfd08cb-696e-6c65-045c-a350a2e20907,0
08270070-373f-5654-8e13-d91cfe5ea846,1
8d2411a5-5caf-beae-a1b5-ffad693c7dd5,0
43fa224f-46e0-cbdb-c194-3c0e83291a8d,1
7336fbd7-6f12-237f-660a-5de61420999e,0
b6ba8f95-fdc2-c182-b245-9b004d9e0beb,1
3a874ada-19d8-ab3d-3190-f32b90b63c62,0
e8aa0903-0960-14a0-672b-c0bbca027906,1
5467e589-d807-8106-98d7-4ff81fd36ef7,0
7e12377e-597d-2c16-f486-405ae1e59ee1,1
31eaad82-85ee-a060-8add-b478e4a0aac1,0
0b914b64-07e9-cc56-c7b6-d9903e9182c2,0
f3ff796e-7102-f653-d348-f32da8b71f4c,0
e0962049-202b-c4ef-07b9-3ecfdb0ea21e,0
d47809f6-3ac1-ce24-7f65-ceb32926de54,1
a0d7c8b6-5dda-cfaf-b16d-a2234c6cf757,0
5db4b5a7-ae2f-f2b2-9493-8efc94d3cc80,1
1ca1b95d-e3f7-c8bf-51f5-45b75a2ddb6d,0
cc210047-0908-eca8-c810-57eb290712ad,1
042026d9-a968-1f0c-d48e-dace010c5f7e,0
fb487b7b-1086-7dc4-92bd-765906cc150b,0
92dd5977-d84a-ff72-501f-c3d9f5d340bf,1
09b686c7-68e0-3edd-ca11-a66bcec352ce,0
85006b80-33b8-d86f-688a-4bd840e661d3,1
4c5c5571-a1a4-f277-4345-7dfca4b278ad,0
509632f4-7b7f-d962-d396-759ba71ec077,1
0c090ea7-d0b9-1b39-9062-483ba54b17d2,1
7d68ac35-5ade-9eb2-fb03-f7b9fff0d794,0
193fd082-5ef6-b5a6-3dd4-ba2a4bb58c47,0
7e1f8a6d-cd61-cbe7-2520-931976870493,1
4f0da293-34ab-07c5-d233-091db0b354d5,0
48658617-ef17-7c63-d850-692c8ff3dcd3,0
d9f78f2e-6790-2112-da97-8fedebd57b3e,1
963cc37a-dca6-1520-b5a0-8a6af211257b,0
832deb78-d43f-a0b4-2027-bc8641384b76,1
bed3f853-778d-38cc-e2a9-fafba941e36f,0
1804dd31-2e89-dfcd-8c15-207369780d67,1
b8cf1666-bfbe-9ac6-4f8b-5afa40e9d976,0
39a6d3e0-c0df-4774-297b-048894d9faff,1
f868bb55-a04e-d680-64da-8da2f494c851,0
679c114a-64a8-f589-adf2-0e5cf59e48e6,0
beb56a8d-b153-b932-bd81-7acfede48835,1
424c945b-8082-3ee0-50c3-8993b3946798,0
c5c595f4-5291-08ae-430e-e48b107982a9,1
b8cf9a86-1427-ac96-0d17-db09f782cb87,0
d02a9748-fce2-8df5-d8de-155cdbb3b251,1
